id_veiculo,marca,modelo,ano,status,cidade,km_mes,velocidade_media,alertas,consumo_combustivel,dias_operacionais,custo_manutencao
V001,Chevrolet,S10 LTZ,2019,ativo,Jaboatão,1409,61,5,169,21,401
V002,Hyundai,HR Baú,2015,ativo,Caruaru,2234,59,0,171,23,433
V003,Hyundai,HR Baú,2022,ativo,Recife,1526,62,3,143,24,289
V004,Ford,Ranger Limited,2016,ativo,Olinda,1935,67,2,177,24,261
V005,Mitsubishi,ASX Outdoor,2016,manutencao,Paulista,0,0,0,0,0,740
V006,Volkswagen,Nivus Comfortline,2024,inativo,Petrolina,0,0,0,0,4,0
V007,Ford,Ranger Storm,2016,ativo,Caruaru,1792,42,6,129,21,347
V008,Volkswagen,Amarok Highline,2020,ativo,Petrolina,1629,61,2,189,30,415
V009,Chevrolet,Tracker LT,2017,ativo,Caruaru,1534,54,3,134,30,426
V010,Ford,Ranger Storm,2020,inativo,Recife,0,0,0,0,1,0
V011,Toyota,Hilux SRX,2021,ativo,Caruaru,2361,68,5,140,23,417
V012,Mitsubishi,Pajero Sport,2022,ativo,Jaboatão,1705,63,4,168,24,441
V013,Hyundai,HB20X,2021,ativo,Jaboatão,2243,55,0,196,20,278
V014,Fiat,Strada Ranch,2017,inativo,Paulista,0,0,0,0,4,0
V015,Chevrolet,S10 High Country,2021,ativo,Cabo de Santo Agostinho,2283,48,4,101,30,434
V016,Chevrolet,Tracker LT,2023,inativo,Petrolina,0,0,0,0,0,0
V017,Volkswagen,Amarok Highline,2017,ativo,Garanhuns,2225,64,1,164,21,410
V018,Volkswagen,Nivus Comfortline,2023,ativo,Jaboatão,1965,64,1,169,28,250
V019,Renault,Kangoo Express,2015,ativo,Petrolina,1829,47,0,130,29,270
V020,Chevrolet,Tracker LT,2022,inativo,Jaboatão,0,0,0,0,1,0
V021,Mitsubishi,ASX Outdoor,2017,ativo,Paulista,1633,69,4,196,23,432
V022,Volkswagen,Amarok Highline,2020,ativo,Cabo de Santo Agostinho,1447,47,1,108,25,255
V023,Ford,Ranger Storm,2018,ativo,Recife,1668,42,0,142,21,381
V024,Ford,Ranger Limited,2022,ativo,Jaboatão,2369,58,3,131,27,354
V025,Ford,Ranger XLS,2016,ativo,Petrolina,2067,53,3,193,20,422
V026,Chevrolet,S10 LTZ,2021,inativo,Olinda,0,0,0,0,1,0
V027,Ford,Ranger XLS,2023,ativo,Paulista,1575,48,3,131,21,363
V028,Chevrolet,S10 LTZ,2023,inativo,Olinda,0,0,0,0,1,0
V029,Fiat,Toro Volcano,2022,ativo,Paulista,1320,45,3,100,26,317
V030,Mitsubishi,Pajero Sport,2021,ativo,Cabo de Santo Agostinho,1517,46,2,127,20,398
V031,Toyota,Hilux Cabine Dupla,2020,ativo,Cabo de Santo Agostinho,2229,69,6,167,22,264
V032,Chevrolet,S10 LTZ,2016,ativo,Caruaru,2026,43,4,131,29,402
V033,Toyota,Hilux Cabine Dupla,2016,ativo,Petrolina,1734,46,5,191,25,311
V034,Volkswagen,Amarok Highline,2017,ativo,Garanhuns,2136,50,6,109,20,367
V035,Chevrolet,S10 LTZ,2023,ativo,Garanhuns,1471,69,2,108,23,344
V036,Volkswagen,Saveiro Cross,2022,inativo,Garanhuns,0,0,0,0,4,0
V037,Toyota,Hilux Cabine Dupla,2023,ativo,Olinda,1475,48,0,113,28,289
V038,Volkswagen,Amarok Highline,2024,ativo,Petrolina,1616,61,5,133,28,375
V039,Volkswagen,Saveiro Cross,2016,ativo,Garanhuns,1290,40,2,198,22,413
V040,Volkswagen,Saveiro Cross,2022,ativo,Paulista,2348,40,0,109,22,389
V041,Toyota,Hilux SRX,2024,ativo,Paulista,1461,41,2,146,20,341
V042,Ford,Ranger Storm,2018,ativo,Petrolina,2346,68,6,152,29,441
V043,Fiat,Toro Freedom,2017,manutencao,Jaboatão,0,0,0,0,0,1151
V044,Hyundai,HR Baú,2017,inativo,Petrolina,0,0,0,0,3,0
